feature,importance
resistance,0.6156393273883026
support,0.3085073862711189
volume_sma,0.269796117191227
quarter,0.2672041479114607
bb_position,0.21547298356942007
month,0.18993177820227652
price_change_5d,0.12680076901944162
bb_upper,0.12433501864194348
support_distance,0.12396347780697684
volatility_20d,0.12325926963276665
resistance_distance,0.12124184508580217
bb_middle,0.11626176001708007
sma_20,0.11626176001708007
bb_lower,0.10692648920734871
sma_50,0.10129290556300065
macd_histogram,0.08796843620872424
volatility_10d,0.08075331784839056
price_change,0.07629917989848511
macd_signal,0.0664291905277468
hl_spread,0.06412319061401282
rsi,0.05534307564980232
sma_10,0.04769551294718152
ema_12,0.043119490187892365
ema_26,0.04085004048598933
price_change_10d,0.03863534242114493
bb_width,0.03529682224962693
macd,0.03494859459507762
day_of_week,0.03485876170108106
sma_5,0.03396495849101869
volume_ratio,0.01213304049305041
hl_spread_avg,0.007869544359787376
