feature,importance
resistance,0.615639327151114
support,0.30850738587831794
volume_sma,0.26979611695336575
quarter,0.26720414801733033
bb_position,0.21547298310020485
month,0.18993177817230147
price_change_5d,0.12680076897122144
bb_upper,0.12433501851798621
support_distance,0.12396347716447503
volatility_20d,0.12325926959802487
resistance_distance,0.12124184503503173
bb_middle,0.11626175994592007
sma_20,0.11626175994592007
bb_lower,0.10692648918651358
sma_50,0.1012929053040134
macd_histogram,0.08796843562376101
volatility_10d,0.08075331770380928
price_change,0.07629917995682983
macd_signal,0.06642919042440636
hl_spread,0.06412319084693434
rsi,0.05534307522535714
sma_10,0.04769551295899059
ema_12,0.04311949007482747
ema_26,0.04085004036393435
price_change_10d,0.03863534227249822
bb_width,0.03529682187683116
macd,0.03494859468256572
day_of_week,0.03485876168654147
sma_5,0.03396495852234056
volume_ratio,0.012133040484014137
hl_spread_avg,0.007869544107353382
