feature,importance
resistance,1.3221418922954244
sma_10,0.6471661426144838
sma_50,0.5913564893957871
quarter,0.24036510770528466
bb_position,0.2092879731186052
support_distance,0.20294282772933706
month,0.19803118246108337
volatility_20d,0.17255752985429504
volatility_10d,0.14952627487715806
resistance_distance,0.14689036285753793
price_change,0.12684093879414837
volume_sma,0.1252153301996178
macd_histogram,0.09199796845862085
bb_width,0.08367826275999139
sma_5,0.06445664035490836
ema_26,0.05680182225144444
price_change_10d,0.055624270337203116
ema_12,0.05514778665859763
price_change_5d,0.03449047960639361
rsi,0.03186789488207097
hl_spread,0.029248057611953322
bb_upper,0.026966521776199025
support,0.024214772077604054
volume_ratio,0.024049849926108834
hl_spread_avg,0.022157714222323373
macd_signal,0.020327134531530296
bb_middle,0.015138889131718828
sma_20,0.01513888913155538
macd,0.009907152372229396
day_of_week,0.004038144960354993
bb_lower,0.0038786118857773136
