feature,importance
price_change,0.000119451885
day_of_week,9.812687e-05
bb_width,8.6630884e-05
volatility_20d,8.155078e-05
rsi,7.4349286e-05
volume_sma,7.282744e-05
macd,7.0816095e-05
month,7.049713e-05
price_change_10d,6.4968386e-05
hl_spread,6.450279e-05
macd_signal,6.387801e-05
bb_position,6.214058e-05
volatility_10d,6.1199156e-05
sma_5,5.211746e-05
bb_upper,5.1386858e-05
sma_20,5.1354098e-05
price_change_5d,5.0487182e-05
sma_10,4.967044e-05
support_distance,4.9456004e-05
resistance,4.7364832e-05
hl_spread_avg,4.3403503e-05
resistance_distance,3.643297e-05
ema_26,3.3913e-05
volume_ratio,3.3260232e-05
sma_50,3.0148418e-05
macd_histogram,2.7591777e-05
bb_middle,2.6401593e-05
quarter,2.0882384e-05
support,2.0698522e-05
ema_12,1.3870924e-05
bb_lower,1.36223125e-05
