feature,importance
price_change,7.585618e-05
price_change_5d,7.1929e-05
bb_width,6.4484484e-05
macd_signal,6.242485e-05
rsi,6.2202555e-05
volume_ratio,5.8747577e-05
month,4.387428e-05
resistance_distance,4.3031778e-05
bb_middle,4.1365114e-05
volatility_10d,3.8311417e-05
macd,3.8232105e-05
quarter,3.7905582e-05
sma_50,3.50506e-05
resistance,3.434034e-05
volatility_20d,3.2865333e-05
bb_position,3.270887e-05
support,3.1920335e-05
day_of_week,3.062323e-05
macd_histogram,2.9535824e-05
volume_sma,2.896007e-05
hl_spread,2.7038654e-05
support_distance,2.6834312e-05
ema_12,2.6275326e-05
bb_lower,2.4736726e-05
hl_spread_avg,2.4703178e-05
ema_26,2.2607093e-05
price_change_10d,2.1179096e-05
sma_20,1.966815e-05
sma_5,1.9147456e-05
bb_upper,1.6162021e-05
sma_10,1.5087186e-05
