feature,importance
ema_26,0.06748611
rsi,0.04035268
ema_12,0.03909843
bb_lower,0.038071614
bb_upper,0.038044237
price_change_10d,0.03714246
sma_10,0.037045665
volume_sma,0.03608981
hl_spread,0.03598315
sma_20,0.034411807
price_change,0.03440887
sma_50,0.033624846
macd_signal,0.033522245
resistance,0.03349889
price_change_5d,0.03338674
hl_spread_avg,0.032227766
macd_histogram,0.032113522
macd,0.031947907
support_distance,0.031887405
resistance_distance,0.031811304
month,0.031582765
sma_5,0.031498782
support,0.03137538
bb_position,0.030695975
bb_width,0.029373145
volatility_10d,0.029240405
day_of_week,0.028918846
volatility_20d,0.028539011
volume_ratio,0.02662021
bb_middle,0.0
quarter,0.0
