feature,importance
ema_12,0.15063784
price_change,0.06742173
volatility_10d,0.051201932
bb_upper,0.046815448
resistance,0.042765904
support,0.038200703
macd_signal,0.03683988
support_distance,0.03554146
volume_sma,0.03158835
hl_spread,0.03133968
sma_10,0.03102892
rsi,0.030254478
price_change_5d,0.029403506
price_change_10d,0.027308058
ema_26,0.027092876
bb_position,0.0265471
macd,0.02623164
hl_spread_avg,0.02610145
volume_ratio,0.025699941
month,0.025646053
bb_width,0.025426278
volatility_20d,0.023865435
sma_20,0.023140999
day_of_week,0.022631174
bb_lower,0.02217419
resistance_distance,0.022055063
macd_histogram,0.021635897
sma_50,0.019484546
sma_5,0.0119194705
bb_middle,0.0
quarter,0.0
